ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"50.251.146.121","elite","AS7922","US","Comcast Cable Communications, LLC","196","Comcast Cable Communications, LLC","5678","socks4","1250","1","2023-04-07T22:07:18.885Z","100","1414","1417"
"18.216.228.146","elite","AS16509","US","Amazon.com, Inc.","89","AWS EC2 (us-east-2)","38209","socks4","1411","1","2023-04-07T22:07:18.883Z","97","1292","1334"
"70.90.67.139","elite","AS7922","US","Comcast Cable Communications, LLC","117","Comcast Cable Communications, LLC","54321","socks4","1343","1","2023-04-07T22:07:18.426Z","97","1375","1416"
"143.198.136.154","elite","AS14061","US","DigitalOcean, LLC","149","DigitalOcean, LLC","52185","socks5","1420","1","2023-04-07T22:07:17.239Z","100","1370","1370"
"107.150.50.226","elite","AS33387","US","Nocix, LLC","103","home","56970","socks5","1356","1","2023-04-07T22:07:16.309Z","99","1387","1396"
"72.8.204.250","elite","AS13807","US","Great Plains Communications LLC","122","Great Plains Communications LLC","5678","socks4","1368","1","2023-04-07T22:07:16.337Z","100","1357","1359"
"184.178.172.11","elite","AS22773","US","Cox Communications Inc.","147","Cox Communications Inc.","4145","socks5","1434","1","2023-04-07T22:07:15.492Z","100","1299","1302"
"45.140.88.217","elite","AS8796","US","FD-298-8796","139","Rhino Cloud LTD","26419","socks5","1380","1","2023-04-07T22:07:15.072Z","42","540","1298"
"108.61.149.186","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10040","socks4","1436","1","2023-04-07T22:07:15.072Z","83","1081","1296"
"138.197.208.93","elite","AS14061","US","DigitalOcean, LLC","153","Digital Ocean","5292","socks5","1362","1","2023-04-07T22:07:14.285Z","99","1407","1415"
"174.75.211.221","elite","AS22773","US","Cox Communications Inc.","145","Cox Communications","4145","socks4","1386","1","2023-04-07T22:07:13.521Z","87","1164","1331"
"184.178.172.14","elite","AS22773","US","Cox Communications Inc.","148","Cox Communications Inc.","4145","socks5","1452","1","2023-04-07T22:07:13.066Z","100","1296","1301"
