ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"36.95.15.147","elite","AS7713","ID","PT. Telekomunikasi Indonesia","225","Telekomunikasi Indonesia","8080","socks4","278","1","2023-03-23T22:09:13.345Z","95","1223","1284"
"202.69.38.42","elite","AS23750","PK","Advertiese Flag","155","Gerrys Information Technology (PVT) Ltd","5678","socks4","207","1","2023-03-23T22:09:13.400Z","100","1195","1196"
"218.86.60.18","elite","AS4134","CN","Chinanet","218","Putian No.24 Middle School","4145","socks4","441","1","2023-03-23T22:09:13.297Z","98","1245","1276"
"116.202.192.120","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner","10002","socks4","643","1","2023-03-23T22:09:13.244Z","98","1174","1192"
"65.169.38.73","elite","AS20081","US","Sprint","137","Sprint","26592","socks4","200","1","2023-03-23T22:09:13.749Z","73","869","1196"
"197.234.13.73","elite","AS36902","SC","Intelvision","175","Intelvision Ltd","4145","socks4","406","1","2023-03-23T22:09:13.299Z","100","1251","1254"
"202.142.181.162","elite","AS135523","PK","Multinet Broadband","163","Multinet Broadband","8080","socks4","171","1","2023-03-23T22:09:13.278Z","93","1224","1311"
"117.94.181.172","elite","AS4134","CN","Chinanet","228","Chinanet JS","8888","socks4","201","1","2023-03-23T22:09:12.562Z","88","1055","1193"
"203.24.108.231","elite","AS209242","CY","Cloudflare London, LLC","1","Lachtaristo Holdings Limited","80","socks4","189","1","2023-03-23T22:09:12.468Z","100","1295","1295"
"202.43.73.121","elite","AS45298","ID","PT. INTERLINK TECHNOLOGY","159","N/A","4145","socks4","290","1","2023-03-23T22:09:12.640Z","100","1309","1312"
"180.210.222.233","elite","AS134128","BD","Mega Speed","152","N/A","1080","socks4","415","1","2023-03-23T22:09:12.134Z","99","1301","1310"
"1.20.137.82","elite","AS23969","TH","TOT Public Company Limited","162","TOT Mobile Co LTD","32241","socks4","395","1","2023-03-23T22:09:12.134Z","100","1307","1311"
"202.79.34.96","elite","AS17501","NP","WorldLink Communications","241","N/A","5678","socks4","150","1","2023-03-23T22:09:12.747Z","99","1278","1292"
"182.253.7.106","elite","AS17451","ID","Biznet Networks","174","Sarana Steel","5678","socks4","810","1","2023-03-23T22:09:12.911Z","100","1254","1260"
"103.111.53.82","elite","AS9341","ID","PT Indonesia Comnets Plus","191","N/A","58033","socks4","630","1","2023-03-23T22:09:12.642Z","81","1056","1310"
"184.178.172.11","elite","AS22773","US","Cox Communications Inc.","147","Cox Communications Inc.","4145","socks5","797","1","2023-03-23T22:09:12.321Z","100","1196","1197"
"51.222.13.193","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","10084","socks5","622","1","2023-03-23T22:09:11.792Z","100","1258","1258"
"177.101.135.84","elite","AS28158","BR","Ampernet TelecomunicaÔÔes Ltda","223","Ampernet Telecomunicações Ltda","5678","socks4","605","1","2023-03-23T22:09:11.704Z","99","1292","1311"
"170.233.117.44","elite","AS264738","AR","Sebastian Souto","297","Sebastian Souto","5678","socks4","652","1","2023-03-23T22:09:11.117Z","97","1215","1252"
"194.58.104.111","elite","AS197695","RU","\"Domain names registrar REG.RU\", Ltd","50","Reg.Ru","7497","socks5","791","1","2023-03-23T22:09:11.249Z","96","1256","1310"
"123.146.186.38","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","253","N/A","1080","socks5","599","1","2023-03-23T22:09:11.793Z","50","662","1311"
"103.113.3.234","elite","AS137342","ID","Diskominfo Tangerang Selatan","201","N/A","4145","socks4","930","1","2023-03-23T22:09:11.291Z","96","1266","1312"
"47.242.146.5","elite","AS45102","HK","Alibaba.com LLC","305","Hong Kong","22722","socks4","790","1","2023-03-23T22:09:11.677Z","69","901","1312"
"177.155.130.97","elite","AS53062","BR","Ggnet Telecom Backbone","203","Ggnet Telecom Backbone","5678","socks4","543","1","2023-03-23T22:09:11.794Z","99","1200","1208"
"60.190.195.146","elite","AS4134","CN","Chinanet","182","N/A","1080","socks5","447","1","2023-03-23T22:09:11.428Z","98","1185","1205"
"192.169.219.79","elite","AS26496","US","GoDaddy.com, LLC","138","GoDaddy.com, LLC","7356","socks4","187","1","2023-03-23T22:09:11.552Z","99","1302","1311"
"198.211.50.112","elite","AS35916","US","Multacom Corporation","143","Multacom Corporation","8080","socks5","453","1","2023-03-23T22:09:11.457Z","100","1266","1269"
"103.210.29.113","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","177","R G Technosolutions PVT LTD","31433","socks4","531","1","2023-03-23T22:09:11.794Z","100","1290","1295"
"81.170.248.182","elite","AS8473","SE","Bahnhof AB","35","General Corporate NET A980","39880","socks5","803","1","2023-03-23T22:09:11.676Z","100","1247","1249"
"185.6.10.231","elite","AS12552","SE","GlobalConnect AB","32","Internet Vikings International AB","52047","socks5","469","1","2023-03-23T22:09:11.351Z","100","1236","1237"
"159.192.139.42","elite","AS131090","TH","CAT-BB","218","N/A","5678","socks4","483","1","2023-03-23T22:09:11.945Z","99","1276","1294"
"203.24.102.86","elite","AS209242","VG","Cloudflare London, LLC","2","Anaga Consulting Limited","80","socks4","685","1","2023-03-23T22:09:11.116Z","100","1310","1311"
"45.234.67.62","elite","AS267362","BR","J.C BARBOSA SPEED NET","214","J.C BARBOSA SPEED","5678","socks4","763","1","2023-03-23T22:09:11.679Z","100","1309","1310"
"170.233.117.249","elite","AS264738","AR","Sebastian Souto","287","Sebastian Souto","4153","socks4","429","1","2023-03-23T22:09:11.588Z","98","1278","1310"
